gamma,seed,reward,spent_ratio,t_stop
0.0,123,183.0,0.9998966454863548,3656
0.1,123,182.0,0.9999868763600077,3684
0.3,123,176.0,0.9999385403650147,3745
1.0,123,181.0,0.9999717850855419,4067
2.0,123,237.0,0.9999418975966318,4572
3.0,123,247.0,0.959620428119387,5000
5.0,123,264.0,0.808554070353508,5000
10.0,123,298.0,0.7012209873540061,5000
0.0,124,194.0,0.9999507776158196,3647
0.1,124,192.0,0.9999992850848607,3688
0.3,124,205.0,0.9999447156276021,3763
1.0,124,186.0,0.9999983148234232,4065
2.0,124,229.0,0.9999972403475217,4562
3.0,124,229.0,0.9610570811033249,5000
5.0,124,259.0,0.8117501995052611,5000
10.0,124,292.0,0.7007789745671409,5000
0.0,125,177.0,0.9999435655474663,3639
0.1,125,189.0,0.9998824030246053,3681
0.3,125,196.0,0.9999674582481384,3768
1.0,125,208.0,0.9999368280257498,4060
2.0,125,254.0,0.9999854369248663,4576
3.0,125,248.0,0.9612357150571686,5000
5.0,125,270.0,0.8121191742335047,5000
10.0,125,305.0,0.701451918729714,5000
0.0,126,185.0,0.9999593661427498,3639
0.1,126,183.0,0.9999370776074273,3667
0.3,126,182.0,0.999971914274352,3762
1.0,126,210.0,0.9999800942710467,4060
2.0,126,236.0,0.999951705140727,4599
3.0,126,258.0,0.9564752407414573,5000
5.0,126,258.0,0.8154978662473815,5000
10.0,126,277.0,0.7005451152069228,5000
0.0,127,205.0,0.9999255311318807,3640
0.1,127,185.0,0.99998411827428,3684
0.3,127,194.0,0.9999454994457109,3756
1.0,127,210.0,0.9999863141349383,4068
2.0,127,207.0,0.9999262089984757,4591
3.0,127,259.0,0.9587682824049677,5000
5.0,127,280.0,0.8102550412416458,5000
10.0,127,294.0,0.7016938947694642,5000
0.0,128,196.0,0.9998854754652295,3658
0.1,128,191.0,0.9999393879260335,3672
0.3,128,182.0,0.9999915887628282,3760
1.0,128,210.0,0.9998915971602712,4037
2.0,128,253.0,0.9999224974427905,4573
3.0,128,254.0,0.9635303830419268,5000
5.0,128,292.0,0.8110219584703445,5000
10.0,128,287.0,0.7016092153447014,5000
0.0,129,162.0,0.9999061195254326,3647
0.1,129,207.0,0.9998750032441956,3687
0.3,129,178.0,0.9998980063199997,3741
1.0,129,198.0,0.9999474509528705,4063
2.0,129,233.0,0.9998861978139196,4608
3.0,129,247.0,0.9600075674482754,5000
5.0,129,268.0,0.8108357385652406,5000
10.0,129,285.0,0.700473758476121,5000
0.0,130,166.0,0.9999892482331821,3648
0.1,130,196.0,0.9999771548509597,3699
0.3,130,176.0,0.9999544055376735,3758
1.0,130,177.0,0.9999306412679808,4044
2.0,130,237.0,0.9999908769897052,4596
3.0,130,254.0,0.9635225831099918,5000
5.0,130,256.0,0.8077616702233043,5000
10.0,130,272.0,0.7022153463874544,5000
0.0,131,181.0,0.9999326311094421,3649
0.1,131,206.0,0.9999378361361367,3672
0.3,131,234.0,0.999886649114745,3772
1.0,131,223.0,0.9998998240658216,4052
2.0,131,223.0,0.9999888187902314,4594
3.0,131,267.0,0.9604956970725741,5000
5.0,131,275.0,0.8081313870293754,5000
10.0,131,290.0,0.7010183722717421,5000
0.0,132,168.0,0.999976233959198,3653
0.1,132,192.0,0.9999578474845205,3696
0.3,132,191.0,0.9999206318429538,3760
1.0,132,202.0,0.9999131389941488,4054
2.0,132,229.0,0.9999861531257629,4561
3.0,132,272.0,0.9623492069414684,5000
5.0,132,233.0,0.8105934940150806,5000
10.0,132,303.0,0.7018309683118548,5000
