gamma,seed,reward,spent_ratio,t_stop
0.0,123,184.0,0.9999951844130244,4472
0.1,123,202.0,0.6576007439664432,5000
0.3,123,193.0,0.6565996360778809,5000
1.0,123,213.0,0.6564844931874957,5000
2.0,123,229.0,0.6564844931874957,5000
3.0,123,190.0,0.6564844931874957,5000
5.0,123,193.0,0.6564844931874957,5000
10.0,123,225.0,0.6564844931874957,5000
0.0,124,128.0,0.9999538256525994,3221
0.1,124,223.0,0.6606731533663613,5000
0.3,124,213.0,0.6565766074998038,5000
1.0,124,211.0,0.6564844931874957,5000
2.0,124,214.0,0.6564844931874957,5000
3.0,124,195.0,0.6564844931874957,5000
5.0,124,183.0,0.6564844931874957,5000
10.0,124,226.0,0.6564844931874957,5000
0.0,125,161.0,0.999987296623843,4107
0.1,125,193.0,0.657530387716634,5000
0.3,125,200.0,0.6564960074765341,5000
1.0,125,225.0,0.6564844931874957,5000
2.0,125,230.0,0.6564844931874957,5000
3.0,125,202.0,0.6564844931874957,5000
5.0,125,190.0,0.6564844931874957,5000
10.0,125,214.0,0.6564844931874957,5000
0.0,126,173.0,0.9998896605457578,4038
0.1,126,178.0,0.6603540092110634,5000
0.3,126,199.0,0.6564960074765341,5000
1.0,126,191.0,0.6564844931874957,5000
2.0,126,221.0,0.6564844931874957,5000
3.0,126,217.0,0.6564844931874957,5000
5.0,126,224.0,0.6564844931874957,5000
10.0,126,208.0,0.6564844931874957,5000
0.0,127,192.0,0.9999576726385525,4214
0.1,127,231.0,0.6579007507392338,5000
0.3,127,235.0,0.6564960074765341,5000
1.0,127,229.0,0.6564844931874957,5000
2.0,127,195.0,0.6564844931874957,5000
3.0,127,190.0,0.6564844931874957,5000
5.0,127,210.0,0.6564844931874957,5000
10.0,127,223.0,0.6564844931874957,5000
0.0,128,217.0,0.9999665781770434,4275
0.1,128,206.0,0.6579813507625035,5000
0.3,128,221.0,0.6565075217655727,5000
1.0,128,204.0,0.6564844931874957,5000
2.0,128,237.0,0.6564844931874957,5000
3.0,128,204.0,0.6564844931874957,5000
5.0,128,225.0,0.6564844931874957,5000
10.0,128,217.0,0.6564844931874957,5000
0.0,129,159.0,0.9999690957069397,4203
0.1,129,248.0,0.6582986687932696,5000
0.3,129,218.0,0.6565075217655727,5000
1.0,129,203.0,0.6564844931874957,5000
2.0,129,190.0,0.6564844931874957,5000
3.0,129,205.0,0.6564844931874957,5000
5.0,129,194.0,0.6564844931874957,5000
10.0,129,210.0,0.6564844931874957,5000
0.0,130,178.0,0.9999909770233291,4575
0.1,130,217.0,0.6581163459420204,5000
0.3,130,210.0,0.6565075217655727,5000
1.0,130,191.0,0.6564844931874957,5000
2.0,130,209.0,0.6564844931874957,5000
3.0,130,199.0,0.6564844931874957,5000
5.0,130,203.0,0.6564844931874957,5000
10.0,130,202.0,0.6564844931874957,5000
0.0,131,190.0,0.9999853896072932,4193
0.1,131,218.0,0.6584464487774031,5000
0.3,131,215.0,0.6564960074765341,5000
1.0,131,218.0,0.6564844931874957,5000
2.0,131,207.0,0.6564844931874957,5000
3.0,131,223.0,0.6564844931874957,5000
5.0,131,230.0,0.6564844931874957,5000
10.0,131,205.0,0.6564844931874957,5000
0.0,132,181.0,0.99999439903668,4347
0.1,132,215.0,0.6593170082909721,5000
0.3,132,222.0,0.6565420646326883,5000
1.0,132,187.0,0.6564844931874957,5000
2.0,132,204.0,0.6564844931874957,5000
3.0,132,223.0,0.6564844931874957,5000
5.0,132,193.0,0.6564844931874957,5000
10.0,132,223.0,0.6564844931874957,5000
