rho,seed,context_split,gamma,reward,spent_ratio,tau
0.4,10123,train,0.0,111.0,0.9999499384760857,2449
0.4,10124,train,0.0,92.0,0.9998514715433121,2151
0.4,10125,train,0.0,86.0,0.999964502453804,2229
0.4,10126,train,0.0,107.0,0.9999967372566462,2476
0.4,10127,train,0.0,109.0,0.999977811768651,2489
0.4,10128,train,0.0,92.0,0.9998903124928474,2446
0.4,10129,train,0.0,117.0,0.9999898179471493,2495
0.4,10130,train,0.0,111.0,0.9999109984636306,2441
0.4,10131,train,0.0,109.0,0.9998189444541932,2214
0.4,10132,train,0.0,120.0,0.9999660638868809,2386
0.4,10123,train,0.1,174.0,0.9998395767360926,4328
0.4,10124,train,0.1,171.0,0.9998009834885597,4338
0.4,10125,train,0.1,199.0,0.9998684413135052,4339
0.4,10126,train,0.1,177.0,0.9997811710834503,4339
0.4,10127,train,0.1,191.0,0.999852931946516,4324
0.4,10128,train,0.1,229.0,0.9999132682681083,4331
0.4,10129,train,0.1,208.0,0.9997704317420721,4336
0.4,10130,train,0.1,189.0,0.9999608335494995,4341
0.4,10131,train,0.1,213.0,0.9998661586642266,4331
0.4,10132,train,0.1,204.0,0.9998516264110804,4339
0.4,10123,train,0.3,197.0,0.9999571800231933,4352
0.4,10124,train,0.3,211.0,0.9997878604680299,4351
0.4,10125,train,0.3,188.0,0.9999773300290108,4352
0.4,10126,train,0.3,197.0,0.9999773300290108,4352
0.4,10127,train,0.3,188.0,0.9997878604680299,4351
0.4,10128,train,0.3,206.0,0.9999773300290108,4352
0.4,10129,train,0.3,203.0,0.9999571800231933,4352
0.4,10130,train,0.3,200.0,0.9999571800231933,4352
0.4,10131,train,0.3,195.0,0.9997878604680299,4351
0.4,10132,train,0.3,189.0,0.9999571800231933,4352
0.4,10123,train,1.0,191.0,0.9999571800231933,4352
0.4,10124,train,1.0,183.0,0.9999571800231933,4352
0.4,10125,train,1.0,208.0,0.9999571800231933,4352
0.4,10126,train,1.0,212.0,0.9999571800231933,4352
0.4,10127,train,1.0,202.0,0.9999571800231933,4352
0.4,10128,train,1.0,191.0,0.9999571800231933,4352
0.4,10129,train,1.0,170.0,0.9999571800231933,4352
0.4,10130,train,1.0,211.0,0.9999571800231933,4352
0.4,10131,train,1.0,211.0,0.9999571800231933,4352
0.4,10132,train,1.0,208.0,0.9999571800231933,4352
0.4,10123,train,2.0,198.0,0.9999571800231933,4352
0.4,10124,train,2.0,186.0,0.9999571800231933,4352
0.4,10125,train,2.0,172.0,0.9999571800231933,4352
0.4,10126,train,2.0,206.0,0.9999571800231933,4352
0.4,10127,train,2.0,216.0,0.9999571800231933,4352
0.4,10128,train,2.0,216.0,0.9999571800231933,4352
0.4,10129,train,2.0,204.0,0.9999571800231933,4352
0.4,10130,train,2.0,186.0,0.9999571800231933,4352
0.4,10131,train,2.0,201.0,0.9999571800231933,4352
0.4,10132,train,2.0,192.0,0.9999571800231933,4352
0.4,10123,train,3.0,168.0,0.9999571800231933,4352
0.4,10124,train,3.0,224.0,0.9999571800231933,4352
0.4,10125,train,3.0,201.0,0.9999571800231933,4352
0.4,10126,train,3.0,170.0,0.9999571800231933,4352
0.4,10127,train,3.0,174.0,0.9999571800231933,4352
0.4,10128,train,3.0,192.0,0.9999571800231933,4352
0.4,10129,train,3.0,214.0,0.9999571800231933,4352
0.4,10130,train,3.0,227.0,0.9999571800231933,4352
0.4,10131,train,3.0,194.0,0.9999571800231933,4352
0.4,10132,train,3.0,189.0,0.9999571800231933,4352
0.4,10123,train,5.0,185.0,0.9999571800231933,4352
