rho,gamma,reward_mean,reward_ci,spent_mean,spent_ci,tau_mean,tau_ci,context_split,selected
0.4,0.0,105.4,8.171645928717009,0.99993165987432,4.371893849979508e-05,2377.6,92.33259871175528,train,0
0.4,0.1,195.5,13.354393388559659,0.9998505423203111,4.162766989868953e-05,4334.6,4.091385693911185,train,0
0.4,0.3,197.4,5.59423533470983,0.9999124291583895,6.181344366030454e-05,4351.7,0.3455502144221818,train,0
0.4,1.0,198.7,10.262040759814376,0.9999571800231933,0.0,4352.0,0.0,train,0
0.4,2.0,197.7,9.992545647865517,0.9999571800231933,0.0,4352.0,0.0,train,0
0.4,3.0,195.3,15.272306842530186,0.9999571800231933,0.0,4352.0,0.0,train,0
0.4,5.0,188.4,8.749607490659425,0.9999571800231933,0.0,4352.0,0.0,train,0
0.4,10.0,201.2,8.701385558390127,0.9999571800231933,0.0,4352.0,0.0,train,1
0.55,0.0,135.1,18.667784859368176,0.9998977891856974,3.7464240809261094e-05,3167.8,170.79071848048463,train,1
0.55,0.1,227.4,13.71960968407316,0.8401754153500903,0.0019820785826341067,5000.0,0.0,train,0
0.55,0.3,223.7,9.217037454569537,0.8355535622466694,1.878550690554038e-05,5000.0,0.0,train,0
0.55,1.0,225.0,13.11704417886306,0.8355257186022673,8.371663225071137e-17,5000.0,0.0,train,0
0.55,2.0,221.2,11.070968291229576,0.8355257186022673,8.371663225071137e-17,5000.0,0.0,train,0
0.55,3.0,229.2,10.95739571663869,0.8355257186022673,8.371663225071137e-17,5000.0,0.0,train,0
0.55,5.0,213.5,6.670274282671568,0.8355257186022673,8.371663225071137e-17,5000.0,0.0,train,0
0.55,10.0,222.4,10.807967314545943,0.8355257186022673,8.371663225071137e-17,5000.0,0.0,train,0
0.7,0.0,174.5,16.042896503788754,0.999962325868436,2.9453375914499975e-05,4087.6,133.60233727195936,train,1
0.7,0.1,222.6,12.903773121002482,0.6590371778079442,0.0008530380335051708,5000.0,0.0,train,0
0.7,0.3,225.0,10.922052540001873,0.6565167331968035,2.1549093358794714e-05,5000.0,0.0,train,0
0.7,1.0,225.4,14.276105665516043,0.6564844931874958,8.371663225071137e-17,5000.0,0.0,train,0
0.7,2.0,221.1,9.280972850178175,0.6564844931874958,8.371663225071137e-17,5000.0,0.0,train,0
0.7,3.0,225.5,13.413869269736038,0.6564844931874958,8.371663225071137e-17,5000.0,0.0,train,0
0.7,5.0,215.3,9.023773624080365,0.6564844931874958,8.371663225071137e-17,5000.0,0.0,train,0
0.7,10.0,222.6,6.426720861972396,0.6564844931874958,8.371663225071137e-17,5000.0,0.0,train,0
0.85,0.0,209.3,8.871258896173682,0.981775772002164,0.016040731849937807,4918.6,109.79541359355947,train,1
0.85,0.1,224.0,10.932459452834495,0.5425486911661485,0.0004305276317248379,5000.0,0.0,train,0
0.85,0.3,221.8,10.221791320573248,0.5406542014542749,1.735303362416583e-05,5000.0,0.0,train,0
0.85,1.0,221.2,12.791360292857128,0.5406342885073494,0.0,5000.0,0.0,train,0
0.85,2.0,226.9,8.593881833901333,0.5406342885073494,0.0,5000.0,0.0,train,0
0.85,3.0,219.7,7.426937542989102,0.5406342885073494,0.0,5000.0,0.0,train,0
0.85,5.0,230.8,15.855912671522548,0.5406342885073494,0.0,5000.0,0.0,train,0
0.85,10.0,227.8,9.015893836322073,0.5406342885073494,0.0,5000.0,0.0,train,0
