rho,seed,context_split,gamma,reward,spent_ratio,tau
0.4,10123,train,0.0,95.0,0.999945331171155,2093
0.4,10124,train,0.0,97.0,0.9999733779877424,2077
0.4,10125,train,0.0,105.0,0.9999981886595488,2082
0.4,10126,train,0.0,98.0,0.9998918732404709,2077
0.4,10127,train,0.0,129.0,0.9999278945922851,2093
0.4,10128,train,0.0,98.0,0.999909288585186,2084
0.4,10129,train,0.0,120.0,0.999988646030426,2078
0.4,10130,train,0.0,106.0,0.9999062018841505,2078
0.4,10131,train,0.0,108.0,0.9999275620281697,2080
0.4,10132,train,0.0,108.0,0.9999693286120892,2071
0.4,10123,train,0.1,93.0,0.9999850254505873,2116
0.4,10124,train,0.1,91.0,0.9999468988478184,2110
0.4,10125,train,0.1,120.0,0.9999605019986629,2115
0.4,10126,train,0.1,83.0,0.999771127730608,2114
0.4,10127,train,0.1,87.0,0.9999587074220181,2100
0.4,10128,train,0.1,100.0,0.9998389082103968,2105
0.4,10129,train,0.1,95.0,0.9998466774970293,2108
0.4,10130,train,0.1,109.0,0.9999943793118,2095
0.4,10131,train,0.1,101.0,0.9998822044581175,2105
0.4,10132,train,0.1,98.0,0.9998814856261015,2109
0.4,10123,train,0.3,99.0,0.9999389653205871,2156
0.4,10124,train,0.3,107.0,0.9998035044521093,2159
0.4,10125,train,0.3,102.0,0.9998789519071579,2167
0.4,10126,train,0.3,116.0,0.9999864352047443,2149
0.4,10127,train,0.3,111.0,0.9999873458594084,2151
0.4,10128,train,0.3,114.0,0.9999699479490518,2161
0.4,10129,train,0.3,119.0,0.9999662349224091,2167
0.4,10130,train,0.3,118.0,0.9998819549530744,2165
0.4,10131,train,0.3,128.0,0.9999345439970493,2166
0.4,10132,train,0.3,114.0,0.9998346008509398,2170
0.4,10123,train,1.0,110.0,0.9998202589601278,2334
0.4,10124,train,1.0,137.0,0.9999817497581244,2326
0.4,10125,train,1.0,129.0,0.9999732595533133,2331
0.4,10126,train,1.0,114.0,0.9999982570707798,2320
0.4,10127,train,1.0,129.0,0.9999529589265584,2316
0.4,10128,train,1.0,113.0,0.9998926091641188,2320
0.4,10129,train,1.0,112.0,0.9999799808859825,2333
0.4,10130,train,1.0,138.0,0.9999587207436561,2330
0.4,10131,train,1.0,125.0,0.999879925698042,2335
0.4,10132,train,1.0,125.0,0.9998916525393724,2327
0.4,10123,train,2.0,130.0,0.99983547899127,2552
0.4,10124,train,2.0,149.0,0.9999807361066342,2558
0.4,10125,train,2.0,127.0,0.9999405269026757,2551
0.4,10126,train,2.0,139.0,0.999855548709631,2539
0.4,10127,train,2.0,126.0,0.9999049296826125,2560
0.4,10128,train,2.0,121.0,0.999838158249855,2554
0.4,10129,train,2.0,131.0,0.9998487104624509,2545
0.4,10130,train,2.0,153.0,0.9999134705811739,2568
0.4,10131,train,2.0,123.0,0.9999064572155476,2550
0.4,10132,train,2.0,125.0,0.9999950210899115,2560
