rho,gamma,reward_mean,reward_ci,spent_mean,spent_ci,tau_mean,tau_ci,context_split,selected
0.4,0.0,106.4,7.772228325754832,0.9999437692791224,2.6462719820606717e-05,2081.3,5.047647184247208,train,0
0.4,0.1,97.7,7.7123746856809055,0.9999065916553139,5.270381666237412e-05,2107.7,4.793425088831572,train,0
0.4,0.3,112.8,6.096176622596145,0.9999182485416533,4.655545388676804e-05,2161.1,5.152446089265853,train,0
0.4,1.0,123.2,7.432677210665876,0.9999329373300074,4.156969239277462e-05,2327.2,4.730739828906667,train,0
0.4,2.0,132.4,7.88841157383016,0.9999019037991763,4.1297613479965485e-05,2553.7,5.928309805692558,train,0
0.4,3.0,139.7,4.423274133784297,0.9999228030458094,3.505481322606545e-05,2807.1,8.117541187406749,train,0
0.4,5.0,175.1,12.076379109209528,0.9998794648036361,5.423054342314737e-05,3363.9,8.58726300834002,train,0
0.4,10.0,240.2,11.223988102499282,0.9998595569297672,4.233463130113346e-05,4025.2,4.872835656643653,train,1
0.55,0.0,152.1,8.94402767272116,0.9999401594595476,3.0519442942548014e-05,2863.3,6.976920397292417,train,0
0.55,0.1,150.0,8.253343649215163,0.9999024838154966,2.875910861388007e-05,2894.3,6.200218397060767,train,0
0.55,0.3,155.4,13.182768176684045,0.999917807740515,3.8978629079399e-05,2958.4,6.127806623589964,train,0
0.55,1.0,161.6,9.012109090964094,0.9999027150099927,4.49591480049847e-05,3171.7,8.806931610748194,train,0
0.55,2.0,180.5,10.384317135499154,0.9999376196850429,3.699270490887384e-05,3534.8,13.305552984333723,train,0
0.55,3.0,210.5,8.045777844470301,0.9999134630647571,3.6186826504424974e-05,3973.5,13.092095467742434,train,0
0.55,5.0,263.8,18.206266588944345,0.9999132844675671,3.702852375717613e-05,4808.6,9.297805348443484,train,1
0.55,10.0,296.0,17.03891453910478,0.8933680188623342,0.0005848928711115509,5000.0,0.0,train,0
0.7,0.0,187.2,6.580592332703057,0.9999519624352455,2.8824176208984416e-05,3642.9,7.933333530882727,train,0
0.7,0.1,189.4,6.779765487429884,0.999946838139636,2.4004476512545194e-05,3682.6,5.083006683912625,train,0
0.7,0.3,194.3,13.095569439203686,0.9999609933819091,2.527043053239046e-05,3755.2,6.316060910852234,train,0
0.7,1.0,216.3,9.82035633289553,0.9999647522253652,2.753418073956365e-05,4050.4,9.942059915776198,train,0
0.7,2.0,238.7,7.303416820707218,0.9999256686934401,2.634338883771723e-05,4585.1,12.277167809291177,train,1
0.7,3.0,266.3,13.216583180055704,0.9626546582741398,0.002514526519267176,5000.0,0.0,train,0
0.7,5.0,270.8,10.036547752078318,0.8126098826876709,0.00188357059205619,5000.0,0.0,train,0
0.7,10.0,296.7,12.168312323497469,0.7013944149468627,0.00042079899553016596,5000.0,0.0,train,0
0.85,0.0,226.8,11.523933745224108,0.9999632712434321,2.5770416964415004e-05,4425.6,6.1924185114294765,train,0
0.85,0.1,238.6,7.511815234998699,0.999982963450516,7.1117123306704855e-06,4468.0,5.682974237657208,train,0
0.85,0.3,249.6,10.50381713640272,0.9999471435329493,2.467827284486761e-05,4573.3,7.668012081915672,train,0
0.85,1.0,262.7,11.265704180407234,0.9999673865367384,1.5612003562886072e-05,4972.9,8.956733166267199,train,1
0.85,2.0,274.3,6.660037252544788,0.8921551959802123,0.0017449967020029989,5000.0,0.0,train,0
0.85,3.0,262.1,12.529301435175565,0.7918727699518203,0.0014552012670063965,5000.0,0.0,train,0
0.85,5.0,283.3,15.092542670503825,0.669440545293864,0.0007632219675823516,5000.0,0.0,train,0
0.85,10.0,297.0,16.80369836152452,0.5776450861580231,0.00030936016973412417,5000.0,0.0,train,0
